Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	ROI: 1.00 px per pixel: Green: Mean	ROI: 1.00 px per pixel: Green: Std.dev.	ROI: 1.00 px per pixel: Green: Min	ROI: 1.00 px per pixel: Green: Max	ROI: 1.00 px per pixel: Green: Median	ROI: 1.00 px per pixel: Red: Mean	ROI: 1.00 px per pixel: Red: Std.dev.	ROI: 1.00 px per pixel: Red: Min	ROI: 1.00 px per pixel: Red: Max	ROI: 1.00 px per pixel: Red: Median
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	81a70599-43c6-4418-9296-3c2dc79c343a	Cell			Annotation	Polygon	935.31	133.23	1352	148.6051	0.7693	53.5488	32.6392	0.8194	14.5615	19760	6.9399	44	0	44	1.479	2007	1.8263	10	0	10	6.2292	8453	4.2297	36	0	36	2074	171.8817	0.8822	62.8835	41.4806	0.7653	11.2534	7.4447	44	0	1.2784	1.733	10	0	6.4298	5.0735	61	0	5.0443	3.1563	21	0	0.9018	1.4718	7	0	6.8064	6.3483	61	0	0.6528	0	0	0	13	13	0	1.2908	1.7404	0	10	0	6.54	5.114	0	61	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	02af2416-828c-49ed-888d-bd593e41ae11	Cell			Annotation	Polygon	483.31	133.88	596	99.6569	0.7541	37.6157	22.4739	0.8035	27.4577	16557	8.5659	57	6	51	1.2587	759	1.8198	21	0	21	7.4693	4504	4.0401	22	0	22	1013	122.3569	0.8503	45.7355	31.3842	0.6981	22.1223	10.3677	57	3	1.3343	1.9352	21	0	9.1006	6.6451	47	0	14.2944	7.3858	44	3	1.4453	2.0903	17	0	11.4939	8.6879	47	0	0.5978	0	0	0	29	12	2	1.2803	1.8991	0	21	0	9.0891	6.6185	0	47	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	5547db88-4a2c-41fe-bfcb-9bb828525f4d	Cell			Annotation	Polygon	531.66	154.88	1177	139.0001	0.7655	48.5577	35.1742	0.6795	22.5554	26683	7.7578	56	6	50	2.0786	2459	2.0567	11	0	11	12.3145	14568	8.529	47	0	47	1654	157.9903	0.8327	56.4987	40.6524	0.6743	21.0259	7.6471	56	6	2.0483	2.046	13	0	11.8945	7.8982	47	0	17.2168	5.8285	38	6	1.9726	2.0192	13	0	10.8484	5.9277	32	0	0.7154	0	0	0	90	45	6	2.0688	2.0516	0	13	3.5	11.8631	7.8864	0	47	11.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	b7064061-5aa6-48a1-8211-68af37c6228e	Cell			Annotation	Polygon	417.73	149.59	308	64.1678	0.94	22.6329	17.8761	0.592	29.4038	9174	11.5487	60	3	57	1.1378	355	1.5766	7	0	7	7.891	2462	6.1791	36	0	36	587	89.0615	0.93	30.0933	26.8102	0.3663	18.6876	14.4051	60	0	1.1375	1.634	10	0	8.6842	6.1222	36	0	6.6173	3.9697	25	0	1.1372	1.6991	10	0	9.5776	5.9428	32	0	0.5217	0	0	0	12	12	0	1.1759	1.6446	0	10	0	8.731	6.0307	0	36	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	9ab1c03b-250b-4879-abeb-4f7f0b79903e	Cell			Annotation	Polygon	281.82	154.51	588	95.208	0.8152	32.6667	24.6418	0.6639	13.3966	7904	8.7037	51	3	48	1.0831	639	1.6712	10	0	10	6.5136	3843	9.4196	58	0	58	999	118.6631	0.8915	41.8517	30.6196	0.6947	9.9034	8.0004	51	0	1.3586	1.9987	11	0	8.8386	11.8918	58	0	4.9251	2.2649	12	0	1.7512	2.3358	11	0	12.1522	14.0772	54	0	0.5958	0	0	0	74	10	8	1.3249	1.9961	0	11	0	8.501	11.851	0	58	3.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	58e57ef9-3936-4cf1-b1a5-c59b49b3bbb9	Cell			Annotation	Polygon	644.98	157.53	754	105.5379	0.8507	38.6688	27.2607	0.7291	16.6443	12633	12.6237	63	0	63	1.2648	960	1.7082	10	0	10	5.3794	4083	4.9526	33	0	33	1292	132.4199	0.9259	47.7667	36.5972	0.6594	11.5371	11.5506	63	0	1.2365	1.7715	11	0	5.5402	5.2748	33	0	4.2916	2.6783	25	0	1.1963	1.8585	11	0	5.7682	5.6976	29	0	0.5864	0	0	0	13	13	0	1.2213	1.7586	0	11	0	5.3362	5.1555	0	33	3.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	9957fd2f-3481-4b55-baa1-5c6c9a5f741f	Cell			Annotation	Polygon	572.36	150.79	182	57.4867	0.6921	23.6399	10.6936	0.8987	16.0963	3010	8.1453	38	0	38	1.5134	283	1.8209	7	0	7	13.1818	2465	6.9938	36	3	33	473	81.7279	0.8899	30.9264	19	0.7746	13.8774	8.2638	44	0	1.4292	1.8074	11	0	11.6554	6.8721	39	0	12.4266	8.0284	44	0	1.3741	1.7996	11	0	10.6573	6.6154	39	0	0.3894	0	0	0	28	28	0	1.4656	1.8222	0	11	0	11.8337	6.8411	0	39	11.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	2de0272b-586b-4228-8082-de1058e986cf	Cell			Annotation	Polygon	500.57	162.43	374	76.9635	0.7934	26.5271	19.487	0.6761	22.6011	8498	7.1948	60	6	54	1.5133	569	1.7542	7	0	7	16.367	6154	7.4137	51	3	48	692	98.7747	0.8913	33.9592	28.5826	0.4877	17.8526	8.9119	60	0	1.5679	1.8503	7	0	16.1633	7.568	51	3	12.2025	7.3253	37	0	1.6329	1.9594	7	0	15.9209	7.7523	39	3	0.5427	0	0	0	57	57	0	1.6086	1.8666	0	7	0	15.8198	7.4002	3	51	14.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	a0946e50-1d97-4a27-a1db-c015003920a8	Cell			Annotation	Polygon	372.79	170.1	1070	125.3916	0.8552	43.3331	33.5	0.6422	15.0186	16130	5.2382	38	3	35	0.7412	796	1.3916	7	0	7	8.5959	9232	8.1878	65	0	65	1700	150.5429	0.9426	52.6431	42.4264	0.5898	12.0683	6.2104	38	0	0.7244	1.3773	7	0	8.4346	8.0126	65	0	6.9904	4.1194	28	0	0.6955	1.3528	7	0	8.1571	7.7001	47	0	0.6324	0	0	0	62	21	5	0.73	1.3811	0	7	0	8.4718	8.0193	0	65	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	5098c243-54a7-4e16-ac1d-dcfa84f939c0	Cell			Annotation	Polygon	830.22	175.46	1183	133.4182	0.8351	44.3936	36.7749	0.4438	10.9781	13042	8.0035	45	0	45	1.0825	1286	1.5743	7	0	7	4.915	5839	5.5098	43	0	43	1759	155.6817	0.912	53.384	44.2853	0.5383	8.6022	7.4722	45	0	0.979	1.5366	7	0	4.9716	5.43	43	0	3.6847	1.7234	12	0	0.7648	1.4334	7	0	5.0889	5.2638	29	0	0.6758	0	0	0	17	17	0	0.9679	1.5235	0	7	0	5.0218	5.44	0	43	3.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	7358684d-3c4f-46a6-9e57-93818486426a	Cell			Annotation	Polygon	602.88	167.08	713	105.8846	0.7992	37.0502	28.1242	0.5362	25.2476	18153	11.208	73	6	67	1.7928	1289	2.0042	15	0	15	5.669	4076	4.921	33	0	33	1109	126.0074	0.8777	44.1649	33.573	0.5592	19.8909	12.2842	73	0	1.7773	1.9823	15	0	6.7592	5.8231	36	0	10.0154	6.8663	44	0	1.7487	1.9435	10	0	8.7692	6.7556	36	0	0.641	0	0	0	13	13	0	1.7894	1.996	0	15	3.5	6.6627	5.7434	0	36	3.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	d34c3717-1187-4023-baa3-c8a9324916c2	Cell			Annotation	Polygon	206.93	168.8	1698	185.9743	0.6169	79.8833	28.3292	0.9412	13.3101	22707	6.8533	47	0	47	1.2872	2196	2.1327	17	0	17	11.5516	19707	11.2496	68	0	68	2598	213.0621	0.7192	88.1598	37.1847	0.9148	10.1955	7.1212	47	0	1.1377	2.007	17	0	9.7203	10.7935	68	0	4.2452	1.9812	12	0	0.8522	1.7068	13	0	6.2217	8.8741	55	0	0.6554	0	0	0	166	30	15	1.1277	1.9954	0	17	0	9.7123	10.8199	0	68	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	c247782a-c21b-44a4-8780-196d7edd1cff	Cell			Annotation	Polygon	798.7	167.21	376	75.8744	0.8207	27.9126	20.2554	0.5952	9.4136	3596	7.7247	47	0	47	0.7094	271	1.3868	7	0	7	2.8743	1098	2.6153	14	0	14	701	99.8857	0.8829	35.4798	26.7454	0.6094	6.8834	6.4951	47	0	0.6643	1.3685	7	0	2.9886	3.121	29	0	3.8723	2.1821	12	0	0.6106	1.3467	7	0	3.1246	3.6319	29	0	0.5338	0	0	0	1	1	0	0.7079	1.41	0	7	0	3.0532	3.227	0	29	3.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	4578e6b2-9353-4b67-87a9-20e0ad5faa84	Cell			Annotation	Polygon	439.84	171.66	616	93.7641	0.8805	32.5637	26.6039	0.5344	29.9643	18488	14.4734	74	3	71	1.9011	1173	1.9386	13	0	13	14.1021	8701	7.7997	51	0	51	965	114.4305	0.9261	39.4005	32.2754	0.5202	23.3961	14.8605	74	3	1.9152	1.9774	13	0	13.4281	7.4979	51	0	11.8171	5.548	28	3	1.94	2.0466	10	0	12.24	6.7831	36	0	0.6377	0	0	0	62	48	2	1.889	1.9768	0	13	3.5	13.389	7.553	0	51	11.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	37da608c-21c9-4e0c-abcd-edf2ca97ea55	Cell			Annotation	Polygon	465.07	173.05	278	64.1689	0.8484	22.049	16.6112	0.6348	29.2014	8264	9.0666	64	9	55	0.9823	278	1.4791	7	0	7	6.5724	1860	6.0551	29	0	29	536	89.5562	0.8398	30.9629	22.2956	0.7148	19.8704	12.6652	64	0	1.087	1.5307	7	0	7.987	6.0809	36	0	9.5953	6.7035	34	0	1.2023	1.5805	7	0	9.5447	5.7288	36	0	0.5198	0	0	0	10	10	0	1.0491	1.5041	0	7	0	7.8226	5.9524	0	36	7.5
240610 DB3 iPSC Neurons _1E4 H33258b AAV1-mRuby3g MAP2-A647r X40 3_max_merged.tif	d3c21151-91c2-4f15-b689-c50a92838ac5	Cell			Annotation	Polygon	289.16	186.65	764	105.0665	0.8697	34.7132	30.8933	0.3272	21.0724	16310	14.9205	60	3	57	0.6357	492	1.2915	10	0	10	2.8075	2173	3.1336	32	0	32	1224	127.9169	0.94	41.7252	37.4666	0.4293	14.8996	14.4077	60	0	0.6939	1.3655	10	0	4.1992	6.621	54	0	4.306	2.0493	12	0	0.7938	1.4801	7	0	6.5876	9.6604	54	0	0.635	0	0	0	26	9	1	0.6931	1.3663	0	10	0	4.3912	6.8376	0	54	3.5
