Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	ROI: 1.00 px per pixel: Green: Mean	ROI: 1.00 px per pixel: Green: Std.dev.	ROI: 1.00 px per pixel: Green: Min	ROI: 1.00 px per pixel: Green: Max	ROI: 1.00 px per pixel: Green: Median	ROI: 1.00 px per pixel: Red: Mean	ROI: 1.00 px per pixel: Red: Std.dev.	ROI: 1.00 px per pixel: Red: Min	ROI: 1.00 px per pixel: Red: Max	ROI: 1.00 px per pixel: Red: Median
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	bccffaf0-6b90-4d96-bfef-d524f95094a1	Cell			Annotation	Polygon	117.01	3.279	79	43.2063	0.5318	18.701	5.9568	0.9449	16.8675	1400	11.0186	54	3	51	1.4458	120	1.8163	7	0	7	4.4458	369	2.3543	11	0	11	164	61.7726	0.5401	27.5031	8.6667	0.9542	10.6095	10.0925	54	0	1.5148	1.7117	7	0	5.9053	3.5191	18	0	4.5698	3.008	12	0	1.5814	1.6122	7	0	7.314	3.8783	18	0	0.476	0	0	0	0	0	0	1.4629	1.7045	0	7	0	5.8286	3.4665	0	18	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	921bb968-95c9-4791-9c51-b4f37a0bb0a8	Cell			Annotation	Polygon	551.74	5.702	187	56.7644	0.7293	22.5886	12.0444	0.848	22.9577	4339	9.622	47	3	44	1.873	354	1.8608	7	0	7	5.9206	1119	4.377	29	0	29	325	76.9408	0.6899	31.0221	14.8708	0.8948	16.6166	11.1762	47	0	1.8466	1.8976	7	0	5.6902	4.4326	29	0	7.8686	6.1271	31	0	1.8102	1.9536	7	0	5.3723	4.5049	21	0	0.5815	0	0	0	1	1	0	1.8037	1.8592	0	7	3.5	5.5583	4.3679	0	29	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	e1dcff17-cc17-4f72-8acd-1bf4e11387f1	Cell			Annotation	Polygon	757.31	17.34	1027	125.8489	0.8149	46.3371	32.1189	0.7514	10.9486	11299	4.0819	31	3	28	1.3333	1376	1.6879	7	0	7	7.2723	7505	4.0667	25	0	25	1518	147.7308	0.8741	55.0917	38	0.7086	9.0907	4.6413	31	0	1.297	1.6704	10	0	7.2168	4.6041	33	0	5.1776	3.0408	18	0	1.2204	1.6319	10	0	7.1	5.572	33	0	0.679	0	0	0	4	4	0	1.2891	1.6694	0	10	0	7.0999	4.5108	0	25	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	0e862e97-aba0-4bea-b68a-8e31c2793ad9	Cell			Annotation	Polygon	505.04	18.17	687	107.5219	0.7467	42.3349	21.7663	0.8648	15.3893	10634	7.0176	41	0	41	1.5384	1063	1.6671	7	0	7	6.1997	4284	3.6301	21	0	21	1181	131.6657	0.8561	51.4455	31.02	0.7936	11.3718	7.7407	41	0	1.6138	1.7577	10	0	6.9949	4.6791	32	0	5.7636	4.5665	28	0	1.7192	1.8735	10	0	8.1051	5.6562	32	0	0.5846	0	0	0	9	9	0	1.6477	1.7816	0	10	3.5	7.1779	4.7921	0	32	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	d926448c-8fa4-490b-a2c5-cf89228f1323	Cell			Annotation	Polygon	652.09	17	693	100.5309	0.8617	34.3661	28.0454	0.5236	10.8171	7572	8.6255	48	0	48	2.5829	1808	2.6358	17	0	17	4.0529	2837	3.3963	21	0	21	1141	124.3299	0.9276	42.5021	36.6686	0.3754	7.8635	7.8001	48	0	2.336	2.5471	17	0	4.2388	3.7094	25	0	3.1964	1.9726	15	0	1.9458	2.3508	13	0	4.5327	4.1434	25	0	0.6155	0	0	0	2	2	0	2.3269	2.5518	0	17	3.5	4.2445	3.7476	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4d923fdb-4d4c-489f-bc7f-51889d8c34c0	Cell			Annotation	Polygon	847.29	22.94	995	122.2566	0.8365	44.8587	28.92	0.7678	12.7353	12748	6.1513	41	0	41	1.3407	1342	1.7392	14	0	14	7.4955	7503	4.2989	25	0	25	1544	147.243	0.8949	52.6092	37.6451	0.6723	9.5489	6.7446	41	0	1.2132	1.6747	14	0	6.6701	4.4831	25	0	3.6642	2.4969	19	0	0.9779	1.5223	10	0	5.1458	4.4201	25	0	0.6526	0	0	0	2	2	0	1.2304	1.6778	0	14	0	6.7502	4.477	0	25	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	ebcaa4fd-7306-4e99-9dc3-430f7f2b447d	Cell			Annotation	Polygon	103.28	22.79	800	108.5928	0.8525	38.0643	29.0604	0.6216	15.8691	12727	6.1035	38	0	38	1.5362	1232	1.6869	7	0	7	6.7469	5411	4.4668	32	0	32	1205	130.127	0.8943	43.7869	36.7906	0.5402	12.3297	7.3942	38	0	1.4615	1.6962	7	0	6.7788	4.7681	32	0	5.321	3.9036	34	0	1.3136	1.707	7	0	6.842	5.3199	29	0	0.662	0	0	0	6	6	0	1.455	1.6972	0	7	0	6.7142	4.7439	0	32	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4901c23f-8d02-4423-a1bc-86b030baebc3	Cell			Annotation	Polygon	540.34	27.14	576	94.2801	0.8143	34.8448	23.2315	0.7093	21.2245	12289	11.8981	79	0	79	1.4836	859	1.7403	7	0	7	2.4784	1435	2.1957	14	0	14	964	115.4522	0.9088	40.8923	31.6369	0.5558	14.7211	12.4133	79	0	1.5238	1.8041	11	0	3.3771	3.248	21	0	5.0411	4.0107	31	0	1.5835	1.8958	11	0	4.7147	4.0139	21	0	0.6071	0	0	0	0	0	0	1.4905	1.7932	0	11	0	3.1442	2.9069	0	21	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	904c66cf-38fe-4c9f-ba20-c556a3b94510	Cell			Annotation	Polygon	137.76	29.51	493	85.8087	0.8414	31.5687	22.8006	0.5725	15.8489	7972	9.7458	50	0	50	2.7594	1388	2.1892	10	0	10	4.9682	2499	3.9056	21	0	21	813	107.8695	0.878	35.903	31.2849	0.1581	11.4419	9.5796	50	0	2.2644	2.125	10	0	4.8592	3.9065	22	0	4.3822	2.3875	15	0	1.4713	1.7497	7	0	4.6847	3.9078	22	0	0.6131	0	0	0	0	0	0	2.2873	2.1357	0	10	3.5	4.8184	3.8599	0	22	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4af1a97f-a905-4845-baa8-c2e1d4e983ef	Cell			Annotation	Polygon	416.37	34.9	1019	119.7168	0.8935	42.3389	31.1815	0.6674	12.3483	12620	4.453	31	0	31	1.8209	1861	1.8579	10	0	10	10.137	10360	4.2377	33	0	33	1616	146.1167	0.9512	51.4359	40.6483	0.6152	9.4341	5.4575	31	0	1.7229	1.8764	13	0	10.5597	5.1033	36	0	4.4286	2.6898	18	0	1.5546	1.8976	13	0	11.2857	6.257	36	0	0.6348	0	0	0	25	25	0	1.7509	1.8846	0	13	3.5	10.5946	5.0837	0	36	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	f98c0a0e-2fe2-46c8-8662-3931f7efa96d	Cell			Annotation	Polygon	210.25	44.1	1100	138.0563	0.7253	51.8041	28.0944	0.8432	13.6516	15085	6.0315	37	0	37	1.2452	1376	1.6414	7	0	7	4.9394	5458	3.4208	36	0	36	1681	160.3446	0.8216	59.5638	36.6149	0.7609	10.4522	6.8169	37	0	1.1234	1.615	7	0	4.6546	3.536	36	0	4.3569	3.0064	19	0	0.8914	1.5383	7	0	4.1121	3.6881	21	0	0.6573	0	0	0	1	1	0	1.1241	1.6167	0	7	0	4.6691	3.5316	0	36	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	1ff22c8a-3b2a-4845-90e3-2e7ae481e23a	Cell			Annotation	Polygon	463.74	40.77	746	106.269	0.8301	37.6081	27.662	0.6107	13.5575	10141	4.4961	34	3	31	1.2941	968	1.6195	7	0	7	5.143	3847	3.5265	25	0	25	1218	128.5084	0.9268	44.2738	36	0.5175	11.3941	5.3499	34	0	1.2291	1.6101	7	0	5.2964	3.5718	25	0	7.9511	4.7675	25	0	1.1255	1.5913	7	0	5.5404	3.6332	21	0	0.612	0	0	0	1	1	0	1.2261	1.604	0	7	0	5.2577	3.5213	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	462e9064-73c2-4477-9122-c748134f3157	Cell			Annotation	Polygon	982.81	45.18	1703	171.3094	0.7292	63.0629	40.275	0.8076	13.7972	23607	7.788	50	0	50	1.5096	2583	1.6927	10	0	10	6.8025	11639	4.3348	25	0	25	2541	196.4571	0.8273	71.7976	49.7736	0.7601	10.7153	7.9583	50	0	1.4412	1.6875	10	0	6.6779	4.4728	25	0	4.3774	3.0257	22	0	1.3005	1.669	7	0	6.4219	4.7365	25	0	0.6764	0	0	0	4	4	0	1.4443	1.6892	0	10	0	6.6422	4.4612	0	25	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4469b777-b2a4-45f8-b606-02a18197db98	Cell			Annotation	Polygon	692.14	48.77	926	122.672	0.7733	44.7201	26.8691	0.8188	12.0247	11207	10.0128	50	0	50	1.2479	1163	1.7104	10	0	10	3.2436	3023	2.7951	14	0	14	1555	148.6292	0.8846	53.8969	35.8103	0.7596	8.4511	8.9779	50	0	1.1622	1.6447	10	0	4.2188	3.7595	32	0	3.0965	1.839	9	0	1.0338	1.5335	7	0	5.6801	4.4796	32	0	0.5995	0	0	0	2	2	0	1.1762	1.6494	0	10	0	4.2939	3.8064	0	32	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	137eb695-fdb1-4f95-8916-e1f988ca0a50	Cell			Annotation	Polygon	150.68	54.76	400	76.1507	0.8668	24.6188	22.3745	0.1302	15.4472	6287	7.9541	38	0	38	2.0983	854	2	10	0	10	3.1916	1299	2.984	18	0	18	692	97.8578	0.9081	33.5188	26.5956	0.6226	10.702	8.4044	38	0	1.8768	1.923	10	0	4.0946	3.7649	25	0	4.0653	2.3221	12	0	1.567	1.767	7	0	5.3574	4.3426	25	0	0.5804	0	0	0	1	1	0	1.9283	1.9319	0	10	3.5	4.0234	3.7125	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	0f8cb7e8-b473-40d9-b6b5-a668ba84c967	Cell			Annotation	Polygon	740.99	61.72	839	105.4783	0.9476	34.8235	31.6321	0.398	15.2444	12851	8.6623	47	0	47	0.669	564	1.2888	7	0	7	2.5302	2133	2.3631	14	0	14	1372	133.6919	0.9646	44.369	40.4894	0.3367	10.6147	9.0206	47	0	0.665	1.3026	7	0	2.4487	2.4512	21	0	3.2509	1.768	10	0	0.6585	1.3253	7	0	2.3189	2.5822	21	0	0.6184	0	0	0	0	0	0	0.6662	1.3044	0	7	0	2.4503	2.4597	0	21	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4bdee805-6545-4b39-8b4a-3ec26f1d4c5d	Cell			Annotation	Polygon	336.72	67.9	728	109.4299	0.764	43.2078	23.8095	0.848	12.6776	9280	6.8398	41	0	41	2.1407	1567	2.0158	10	0	10	4.6776	3424	4.3044	33	0	33	1196	133.7483	0.8402	51.3818	31.115	0.8185	9.8922	7.0289	41	0	1.9741	2.0533	10	0	4.7051	4.4298	33	0	5.5075	4.7051	31	0	1.7118	2.0862	10	0	4.7484	4.6246	29	0	0.6095	0	0	0	7	7	0	2.0017	2.0426	0	10	3.5	4.707	4.4589	0	33	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	c3aa16d0-577e-4363-a450-dd05d52d90cf	Cell			Annotation	Polygon	517.97	71.71	1382	162.431	0.6582	58.2261	34.47	0.849	16.0172	22344	9.317	57	3	54	1.7398	2427	1.9181	15	0	15	6.9441	9687	3.8717	29	0	29	2171	185.1577	0.7958	67.5229	43.8407	0.7953	12.3045	9.2052	57	0	1.7167	1.8897	15	0	6.9867	4.2084	36	0	5.656	3.4874	22	0	1.6752	1.8382	13	0	7.0629	4.7538	36	0	0.6416	0	0	0	7	7	0	1.7175	1.896	0	15	3.5	6.9109	4.1961	0	36	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	3e1aeb3c-9200-4f4a-a6e2-5a6f75cacd58	Cell			Annotation	Polygon	61.42	70.97	1164	135.1932	0.8003	48.2767	32.9689	0.7509	12.5945	14723	5.2594	34	3	31	0.8973	1049	1.5033	10	0	10	4.8067	5619	4.3744	32	0	32	1768	158.1443	0.8884	56.8914	40.7876	0.7214	10.1648	5.8785	34	0	0.9678	1.5577	10	0	5.4221	5.3576	47	0	5.4544	3.7822	25	0	1.1045	1.6507	10	0	6.6153	6.7197	47	0	0.66	0	0	0	11	11	0	0.9722	1.5551	0	10	0	5.4352	5.3327	0	47	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	b737bb3b-19ae-4aa1-859d-c9020b39948c	Cell			Annotation	Polygon	458.97	85.57	1144	137.7934	0.7571	48.9577	33.2101	0.7821	19.1203	21931	7.97	54	0	54	2.8867	3311	2.4429	17	0	17	4.6173	5296	3.7821	25	0	25	1745	160.6758	0.8494	56.4211	42.0291	0.6814	14.6808	9.2431	54	0	2.7782	2.424	17	0	4.7255	3.8402	25	0	6.1656	4.1409	29	0	2.5702	2.3754	13	0	4.9331	3.9442	25	0	0.6598	0	0	0	3	3	0	2.8127	2.425	0	17	3.5	4.6948	3.8285	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	cfca3ae9-9646-47bd-a51a-35ffd2d139e9	Cell			Annotation	Polygon	113.19	79.72	986	125.2357	0.79	47.2748	28.5928	0.7938	16.996	16860	6.2159	44	3	41	1.6925	1679	1.8759	18	0	18	7.5756	7515	4.5387	33	0	33	1550	148.9777	0.8776	55.1653	37.9757	0.696	13.6196	7.2565	44	0	1.5912	1.837	18	0	7.6551	4.8232	33	0	7.6279	4.6278	31	0	1.4114	1.7533	10	0	7.7961	5.292	29	0	0.6378	0	0	0	8	8	0	1.6184	1.8366	0	18	0	7.8043	4.8328	0	33	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	05b26863-4182-42e0-8827-c8a7ce1ad8c9	Cell			Annotation	Polygon	880.7	84.37	1193	128.3707	0.9097	46.21	35.5584	0.6451	10.2824	12308	4.0311	31	0	31	7.056	8446	3.4266	24	0	24	7.3952	8852	4.2168	36	0	36	1832	156.0116	0.9458	55.1448	44	0.5984	8.0512	4.7121	31	0	5.939	3.6346	24	0	8.5575	5.0958	36	0	3.8652	2.5519	16	0	3.8433	3.0404	24	0	10.7382	5.8376	36	0	0.6537	0	0	0	20	20	0	5.9541	3.6434	0	24	7.5	8.5414	5.1408	0	36	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	7123a681-26d4-44c8-9610-d070d7f99cb8	Cell			Annotation	Polygon	195.7	85.62	827	117.2243	0.7563	45.9927	24.4865	0.8387	14.3438	11891	4.9355	34	3	31	1.6526	1370	1.8669	13	0	13	9.0422	7496	4.8471	29	0	29	1290	137.7601	0.8542	53.5927	33.7156	0.7727	11.6827	5.8942	34	0	1.7331	1.8692	13	0	9.3654	5.8225	36	0	6.887	4.2081	25	0	1.8783	1.8666	10	0	9.9478	7.2263	36	0	0.6435	0	0	0	24	24	0	1.7278	1.8541	0	13	3.5	9.4076	5.7606	0	33	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	924fee92-c85f-430c-97e2-818a74639fa1	Cell			Annotation	Polygon	151.51	82.39	428	76.2922	0.924	25.947	22.4656	0.5241	18.447	8006	10.7846	53	0	53	1.947	845	1.8821	7	0	7	3.7074	1609	3.5846	22	0	22	767	100.6576	0.9513	33.2098	30.3687	0.2863	11.9258	11.0718	53	0	1.9401	1.8857	7	0	6.1367	7.7334	54	0	3.4521	1.9162	10	0	1.9311	1.8931	7	0	9.2934	10.1664	54	0	0.5518	0	0	0	17	11	1	1.9424	1.8963	0	7	3.5	6.4378	8.2203	0	54	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	bf7be3f7-db2d-429b-8475-80584145f921	Cell			Annotation	Polygon	949.05	85.02	713	99.7307	0.9008	33.2411	28.2635	0.4869	14.4693	10360	10.4144	53	0	53	1.588	1137	1.8011	10	0	10	4.3506	3115	4.2454	25	0	25	1217	126.0664	0.9623	42.4969	36.7696	0.4758	9.7848	9.8065	53	0	1.4542	1.7504	10	0	3.9354	3.9007	25	0	3.1561	1.9532	12	0	1.2648	1.6594	7	0	3.3478	3.2678	25	0	0.5844	0	0	0	2	2	0	1.4846	1.755	0	10	0	4	3.9209	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	33bf69dd-3618-4952-978e-50f72b55a635	Cell			Annotation	Polygon	246.93	88.15	982	117.2287	0.898	40.5316	32.9445	0.4893	13.4833	13308	5.8202	40	0	40	1.6484	1627	1.7995	10	0	10	7.846	7744	4.0965	25	0	25	1581	145.5341	0.938	49.7403	42.4264	0.4712	10.419	6.5126	40	0	1.6011	1.8167	10	0	8.0347	4.698	36	0	5.3783	3.9519	28	0	1.5233	1.8435	10	0	8.345	5.5372	36	0	0.6239	0	0	0	7	7	0	1.6028	1.8271	0	11	0	8.1121	4.7344	0	36	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	b0473380-1126-43cb-959b-c41dc2b04d65	Cell			Annotation	Polygon	414.08	83.92	707	103.8697	0.8235	36.8366	26.386	0.6951	15.116	10687	6.0576	38	3	35	2.4724	1748	2.0449	10	0	10	11.3607	8032	5.5526	33	0	33	1168	128.2991	0.8917	46.1466	34.8126	0.6207	13.5962	6.0125	38	0	2.4226	2.0593	10	0	12.3713	6.2984	49	0	11.2706	5.1412	28	0	2.3463	2.0811	10	0	13.9177	7.0235	49	0	0.6037	0	0	0	50	50	0	2.421	2.0643	0	10	3.5	12.4427	6.2623	0	49	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	75016afd-f454-4bde-adda-d6b7f78a1fd4	Cell			Annotation	Polygon	315.32	89.3	465	84.6874	0.8148	29.1812	23.8097	0.483	11.797	5580	8.7467	50	0	50	3.0169	1427	2.3288	13	0	13	5.6004	2649	4.25	25	0	25	845	107.3515	0.9214	36.7755	30.1171	0.5425	8.4036	7.8696	50	0	2.5692	2.2664	13	0	6.0533	4.4483	29	0	4.0887	3.1945	25	0	2	2.0506	13	0	6.629	4.6305	29	0	0.5583	0	0	0	4	4	0	2.5793	2.2681	0	13	3.5	6.0337	4.4728	0	29	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	cfa4924d-7e26-4c82-b9a3-a5587f5f7a3c	Cell			Annotation	Polygon	834.51	93.22	685	95.9468	0.9351	31.6112	28.7482	0.2556	16.3207	11196	10.5312	44	0	44	1.8805	1290	1.7577	7	0	7	5.9942	4112	3.8671	22	0	22	1163	123.4324	0.9592	40.3862	37.7124	0.1391	10.951	10.4001	44	0	1.7921	1.8094	7	0	6.5902	4.3044	32	0	3.2448	1.8623	9	0	1.6653	1.8758	7	0	7.4456	4.7385	32	0	0.5904	0	0	0	3	3	0	1.8287	1.8001	0	7	3.5	6.6087	4.2916	0	32	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	ef7e7eed-22c0-4081-8996-64710738f390	Cell			Annotation	Polygon	377.81	91.94	750	105.5927	0.8453	38.9166	25.8183	0.7494	21.4953	16143	10.3229	53	3	50	2.1877	1643	1.9955	10	0	10	4.4248	3323	4.4893	40	0	40	1148	127.7378	0.8841	47.1659	34	0.6505	16.4474	11.275	53	0	2.2659	2.0516	10	0	4.2606	4.2942	40	0	6.97	5.2999	34	0	2.4125	2.148	10	0	3.9525	3.8882	22	0	0.6521	0	0	0	2	2	0	2.2973	2.0692	0	10	3.5	4.208	4.2664	0	40	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	f956f68c-1ad9-49f4-9e6d-1803031ba197	Cell			Annotation	Polygon	576.75	102.27	1435	144.9021	0.8588	48.7867	38.3695	0.5176	15.613	22389	5.4071	41	3	38	2.622	3760	2.8971	27	0	27	6.4805	9293	4.4224	29	0	29	2132	171.058	0.9156	57.7369	47	0.4665	12.6065	6.5659	41	0	2.4972	3.0101	27	0	6.4789	4.5576	29	0	6.4298	3.8596	31	0	2.2407	3.2171	24	0	6.4756	4.8267	29	0	0.6736	1	1	0	11	11	0	2.5332	3.0216	0	27	3.5	6.527	4.5879	0	29	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	0d8deb0a-df0e-456b-ba6f-48354211516f	Cell			Annotation	Polygon	622.48	97	599	88.9423	0.9515	29.6414	26.6123	0.3637	12.4567	7474	9.8604	51	0	51	2.795	1677	2.5093	17	0	17	4.2767	2566	3.9437	32	0	32	1060	117.3559	0.9672	39.0246	35.5503	0.3715	8.4325	8.8137	51	0	2.3069	2.4151	17	0	4.8782	4.4155	32	0	3.1721	1.8274	12	0	1.6688	2.1258	14	0	5.6645	4.8583	25	0	0.5675	0	0	0	7	7	0	2.3077	2.4253	0	17	3.5	4.7933	4.396	0	32	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	324ab407-b379-41d5-b674-ea490036aaff	Cell			Annotation	Polygon	81.34	109.8	895	124.2708	0.7283	41.8647	31.2382	0.7213	13.5909	12191	5.202	41	3	38	1.5652	1404	2.0633	13	0	13	6.5853	5907	5.5719	36	0	36	1365	140.7149	0.8663	50.9509	37.241	0.6861	11.7149	5.6512	41	0	1.4298	1.9674	13	0	6.3253	5.3607	39	0	8.1423	4.668	28	0	1.172	1.7437	7	0	5.8301	4.9012	39	0	0.6588	0	0	0	14	14	0	1.4316	1.9668	0	13	0	6.3267	5.3744	0	39	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	3f253665-3820-4165-a395-c91ca1da68bb	Cell			Annotation	Polygon	350.87	107.53	438	82.5148	0.8084	27.905	22.1244	0.5723	17.5973	7866	12.0155	51	0	51	2.4743	1106	2.1922	13	0	13	6.9978	3128	6.1013	33	0	33	732	103.6953	0.8555	34.7084	30.5524	0.2641	13.1158	11.2991	51	0	2.5926	2.2196	13	0	6.4605	5.6075	33	0	6.1359	4.6679	28	0	2.777	2.253	10	0	5.6237	4.6241	33	0	0.6071	0	0	0	11	11	0	2.6019	2.2462	0	13	3.5	6.5055	5.5708	0	33	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	2d683392-2ee5-44d4-962f-ec3ff152db94	Cell			Annotation	Polygon	209.78	111.98	260	60.1347	0.9035	19.6252	17.9249	0.3498	16.2765	4297	10.4213	50	0	50	2.3636	624	1.9762	10	0	10	1.8712	494	1.9632	11	0	11	572	85.976	0.9724	28.229	26.5645	0.092	10.8307	9.4303	50	0	2.1955	1.9683	10	0	2.5445	2.2579	11	0	6.178	5.0282	35	0	2.0518	1.9533	10	0	3.1197	2.3359	11	0	0.46	0	0	0	0	0	0	2.1667	1.9729	0	10	3.5	2.4801	2.2168	0	11	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	12e2817f-4b73-449c-a96d-5cc0e1ca8c9a	Cell			Annotation	Polygon	145.59	118.21	552	87.8181	0.8995	29.2845	25.8958	0.4375	17.794	10018	11.5505	50	0	50	2.1172	1192	1.8076	7	0	7	4.0391	2274	3.0269	25	0	25	1013	115.148	0.9601	38.3313	35	0.3266	11.6834	11.1265	50	0	2.0138	1.924	10	0	6.6124	7.8213	51	0	4.0554	2.6523	22	0	1.8847	2.0548	10	0	9.8248	10.3749	51	0	0.5541	0	0	0	28	13	2	2.0422	1.9096	0	10	3.5	6.7641	8.0794	0	51	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4a562290-729e-4652-93fd-01b2a227e1d0	Cell			Annotation	Polygon	494.19	126.4	739	104.9696	0.8428	39.5458	23.0534	0.8158	18.1903	13479	10.0901	47	3	44	3.1242	2315	2.4336	13	0	13	8.7665	6496	5.2224	33	0	33	1271	132.9797	0.9032	48.8274	32.4914	0.7528	12.31	10.4741	47	0	3.4647	2.8721	17	0	8.0416	4.9184	33	0	4.1351	2.4039	21	0	3.9381	3.3339	17	0	7.0338	4.2659	29	0	0.581	0	0	0	12	12	0	3.5584	2.9654	0	17	3.5	8.0167	4.928	0	33	7.5
